HPSA Name,Designation Type,HPSA Score,HPSA Status,HPSA Designation Date,HPSA Designation Last Update Date,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,Common County Name,Common Region Name,Common State Abbreviation,Common State County FIPS Code,Common State Name,County Equivalent Name,HPSA Estimated Served Population,HPSA Estimated Underserved Population,HPSA Provider Ratio Goal,HPSA Shortage,Region Alias
Jackson County,High Needs Geographic HPSA,19,Designated,1995-03-31,2021-09-10,0.2,3190.0,45.3,15950:1,Rural,"Jackson County, SD",Region 8,SD,46071,South Dakota,Jackson,600.0,2590.0,3000:1,0.86,Rocky Mountains
Skamania County,Geographic HPSA,15,Designated,2021-08-06,2021-08-06,0.0,11623.0,12.8,,Rural,"Skamania County, WA",Region 10,WA,53059,Washington,Skamania,0.0,11623.0,3500:1,3.32,North Far West
Eastland County,Geographic HPSA,11,Designated,2019-12-23,2021-07-02,3.475,17311.0,18.3,4982:1,Rural,"Eastland County, TX",Region 6,TX,48133,Texas,Eastland,12162.0,5149.0,3500:1,1.475,South Central
Lipscomb County,Geographic HPSA,14,Designated,1988-08-31,2021-09-10,0.0,3320.0,12.8,,Rural,"Lipscomb County, TX",Region 6,TX,48295,Texas,Lipscomb,0.0,3320.0,3500:1,0.95,South Central
Schleicher County,Geographic HPSA,15,Designated,2009-02-27,2021-07-28,0.0,2983.0,15.6,,Rural,"Schleicher County, TX",Region 6,TX,48413,Texas,Schleicher,0.0,2983.0,3500:1,0.85,South Central
Parmer County,Geographic HPSA,14,Designated,2017-08-04,2021-09-10,1.925,9643.0,14.9,5009:1,Rural,"Parmer County, TX",Region 6,TX,48369,Texas,Parmer,6738.0,2905.0,3500:1,0.835,South Central
Winkler County,Geographic HPSA,13,Designated,1990-02-01,2021-09-10,1.975,7767.0,15.0,3933:1,Rural,"Winkler County, TX",Region 6,TX,48495,Texas,Winkler,6912.0,855.0,3500:1,0.245,South Central
Hall County,High Needs Geographic HPSA,20,Designated,1998-09-15,2021-09-10,0.0,2993.0,22.8,,Rural,"Hall County, TX",Region 6,TX,48191,Texas,Hall,0.0,2993.0,3000:1,1.0,South Central
Val Verde County,High Needs Geographic HPSA,11,Designated,2011-07-22,2021-09-10,11.855,46976.0,20.3,3963:1,Rural,"Val Verde County, TX",Region 6,TX,48465,Texas,Val Verde,35565.0,11411.0,3000:1,3.805,South Central
San Augustine County,High Needs Geographic HPSA,13,Designated,1989-09-21,2021-09-10,2.0,8044.0,24.8,4022:1,Rural,"San Augustine County, TX",Region 6,TX,48405,Texas,San Augustine,6000.0,2044.0,3000:1,0.68,South Central
Hutchinson County,Geographic HPSA,12,Designated,2016-04-01,2021-09-10,4.25,21180.0,14.5,4984:1,Rural,"Hutchinson County, TX",Region 6,TX,48233,Texas,Hutchinson,14875.0,6305.0,3500:1,1.8,South Central
Garza County,Geographic HPSA,17,Designated,2010-11-12,2021-09-10,0.0,4208.0,19.7,,Rural,"Garza County, TX",Region 6,TX,48169,Texas,Garza,0.0,4208.0,3500:1,1.2,South Central
Briscoe County,Geographic HPSA,14,Designated,2000-01-10,2021-09-10,0.2,1427.0,16.3,7135:1,Rural,"Briscoe County, TX",Region 6,TX,48045,Texas,Briscoe,700.0,727.0,3500:1,0.21,South Central
Hamilton County,Geographic HPSA,10,Proposed For Withdrawal,2018-04-18,2021-07-02,2.0,8042.0,12.0,4021:1,Rural,"Hamilton County, TX",Region 6,TX,48193,Texas,Hamilton,7000.0,1042.0,3500:1,0.3,South Central
Donley County,Geographic HPSA,19,Designated,2019-09-06,2021-09-10,0.25,3031.0,14.7,12124:1,Rural,"Donley County, TX",Region 6,TX,48129,Texas,Donley,875.0,2156.0,3500:1,0.62,South Central
Kleberg County,Geographic HPSA,12,Proposed For Withdrawal,2020-04-27,2021-07-02,7.7,29557.0,26.1,3839:1,Rural,"Kleberg County, TX",Region 6,TX,48273,Texas,Kleberg,26950.0,2607.0,3500:1,0.74,South Central
Deaf Smith County,Geographic HPSA,17,Designated,1978-06-14,2021-09-10,1.6,18461.0,16.2,11538:1,Rural,"Deaf Smith County, TX",Region 6,TX,48117,Texas,Deaf Smith,5600.0,12861.0,3500:1,3.67,South Central
Jackson County,Geographic HPSA,4,Designated,1979-08-24,2021-09-10,4.0,14494.0,13.4,3624:1,Rural,"Jackson County, TX",Region 6,TX,48239,Texas,Jackson,14000.0,494.0,3500:1,0.14,South Central
LI-Fannin County,Geographic HPSA,12,Proposed For Withdrawal,2020-04-27,2021-11-12,5.675,30792.0,16.4,5426:1,Rural,"Fannin County, TX",Region 6,TX,48147,Texas,Fannin,19862.0,10930.0,3500:1,3.125,South Central
Borden County,Geographic HPSA,7,Designated,1980-10-21,2021-09-10,0.0,613.0,2.6,,Rural,"Borden County, TX",Region 6,TX,48033,Texas,Borden,0.0,613.0,3500:1,0.18,South Central
Marion County,High Needs Geographic HPSA,19,Proposed For Withdrawal,1980-09-15,2021-07-02,0.0,9988.0,21.6,,Rural,"Marion County, TX",Region 6,TX,48315,Texas,Marion,0.0,9988.0,3000:1,3.33,South Central
Mason County,Geographic HPSA,12,Designated,1979-08-27,2021-09-10,0.65,4176.0,10.7,6425:1,Rural,"Mason County, TX",Region 6,TX,48319,Texas,Mason,2275.0,1901.0,3500:1,0.54,South Central
Loving County,Geographic HPSA,6,Designated,1980-10-21,2021-07-02,0.0,98.0,15.3,,Rural,"Loving County, TX",Region 6,TX,48301,Texas,Loving,0.0,98.0,3500:1,0.03,South Central
Dawson County,Geographic HPSA,16,Designated,2020-01-29,2021-09-10,2.6,10950.0,25.9,4212:1,Rural,"Dawson County, TX",Region 6,TX,48115,Texas,Dawson,9100.0,1850.0,3500:1,0.53,South Central
Oldham County,Geographic HPSA,11,Designated,1980-07-18,2021-09-10,0.0,1669.0,9.1,,Rural,"Oldham County, TX",Region 6,TX,48359,Texas,Oldham,0.0,1669.0,3500:1,0.48,South Central
Kenedy County,Geographic HPSA,7,Designated,2020-08-17,2021-09-10,0.0,568.0,5.4,,Rural,"Kenedy County, TX",Region 6,TX,48261,Texas,Kenedy,0.0,568.0,3500:1,0.16,South Central
McClain County,Geographic HPSA,12,Proposed For Withdrawal,2017-09-15,2021-09-10,6.43,35581.0,10.7,5534:1,Non-Rural,"McClain County, OK",Region 6,OK,40087,Oklahoma,McClain,22505.0,13076.0,3500:1,3.74,South Central
McIntosh County,High Needs Geographic HPSA,10,Designated,2013-11-06,2021-08-06,6.0,19384.0,20.7,3231:1,Rural,"McIntosh County, OK",Region 6,OK,40091,Oklahoma,McIntosh,18000.0,1384.0,3000:1,0.46,South Central
Dewey County,Geographic HPSA,13,Designated,2016-09-26,2021-09-10,0.8,4813.0,16.6,6016:1,Rural,"Dewey County, OK",Region 6,OK,40043,Oklahoma,Dewey,2800.0,2013.0,3500:1,0.58,South Central
Grant County,Geographic HPSA,12,Designated,2022-02-09,2022-02-09,0.0,4260.0,6.8,,Rural,"Grant County, OK",Region 6,OK,40053,Oklahoma,Grant,0.0,4260.0,3500:1,1.22,South Central
Atoka County,High Needs Geographic HPSA,10,Designated,1982-03-01,2021-09-02,4.0,12345.0,20.5,3086:1,Rural,"Atoka County, OK",Region 6,OK,40005,Oklahoma,Atoka,12000.0,345.0,3000:1,0.12,South Central
Northampton County,High Needs Geographic HPSA,19,Designated,1980-01-22,2021-07-30,2.5,19065.0,20.6,7626:1,Rural,"Northampton County, NC",Region 4,NC,37131,North Carolina,Northampton,7500.0,11565.0,3000:1,3.86,Southeast
Wilson County,High Needs Geographic HPSA,9,Proposed For Withdrawal,2016-08-10,2021-08-02,24.06,79870.0,23.9,3320:1,Rural,"Wilson County, NC",Region 4,NC,37195,North Carolina,Wilson,72180.0,7690.0,3000:1,2.56,Southeast
Halifax County,High Needs Geographic HPSA,13,Proposed For Withdrawal,2018-09-20,2021-08-02,14.35,51449.0,26.7,3585:1,Rural,"Halifax County, NC",Region 4,NC,37083,North Carolina,Halifax,43050.0,8399.0,3000:1,2.8,Southeast
Onslow County,Geographic HPSA,11,Designated,2018-09-20,2021-09-10,25.925,174605.0,13.2,6735:1,Partially Rural,"Onslow County, NC",Region 4,NC,37133,North Carolina,Onslow,90738.0,83867.0,3500:1,23.965,Southeast
Robeson County,Geographic HPSA,16,Proposed For Withdrawal,1988-02-11,2021-07-30,35.2,131193.0,31.9,3727:1,Rural,"Robeson County, NC",Region 4,NC,37155,North Carolina,Robeson,123200.0,7993.0,3500:1,2.28,Southeast
Person County,Geographic HPSA,10,Designated,2018-12-31,2021-09-10,9.45,38792.0,16.0,4105:1,Rural,"Person County, NC",Region 4,NC,37145,North Carolina,Person,33075.0,5717.0,3500:1,1.63,Southeast
Johnston County,Geographic HPSA,10,Proposed For Withdrawal,2017-07-26,2021-11-09,43.32,173374.0,16.3,4002:1,Partially Rural,"Johnston County, NC",Region 4,NC,37101,North Carolina,Johnston,151620.0,21754.0,3500:1,6.22,Southeast
Tyrrell County,Geographic HPSA,17,Designated,1979-09-17,2021-09-08,0.0,3329.0,22.5,,Rural,"Tyrrell County, NC",Region 4,NC,37177,North Carolina,Tyrrell,0.0,3329.0,3500:1,0.95,Southeast
Harnett County,Geographic HPSA,11,Proposed For Withdrawal,2012-05-01,2021-08-02,16.88,123054.0,18.2,7290:1,Partially Rural,"Harnett County, NC",Region 4,NC,37085,North Carolina,Harnett,59080.0,63974.0,3500:1,18.28,Southeast
Sublette County,Geographic HPSA,14,Designated,1995-05-30,2021-08-18,1.8,9841.0,10.1,5467:1,Rural,"Sublette County, WY",Region 8,WY,56035,Wyoming,Sublette,6300.0,3541.0,3500:1,1.01,Rocky Mountains
Campbell County,Geographic HPSA,16,Designated,2018-09-06,2021-09-10,4.8,54525.0,10.9,11359:1,Partially Rural,"Campbell County, VA",Region 3,VA,51031,Virginia,Campbell,16800.0,37725.0,3500:1,10.78,Mid Atlantic
Middlesex-Mathews Counties,Geographic HPSA,14,Proposed For Withdrawal,2017-12-29,2021-09-08,4.75,19343.0,9.4,4072:1,Rural,"Mathews County, VA",Region 3,VA,51115,Virginia,Mathews,16625.0,2718.0,3500:1,0.78,Mid Atlantic
Middlesex-Mathews Counties,Geographic HPSA,14,Proposed For Withdrawal,2017-12-29,2021-09-08,4.75,19343.0,9.4,4072:1,Rural,"Middlesex County, VA",Region 3,VA,51119,Virginia,Middlesex,16625.0,2718.0,3500:1,0.78,Mid Atlantic
Highland County,Geographic HPSA,13,Designated,2021-04-09,2021-09-10,0.0,2179.0,10.1,,Rural,"Highland County, VA",Region 3,VA,51091,Virginia,Highland,0.0,2179.0,3500:1,0.62,Mid Atlantic
King George/Westmoreland Counties,Geographic HPSA,10,Proposed For Withdrawal,2006-04-10,2021-09-10,6.14,41696.0,8.6,6791:1,Rural,"Westmoreland County, VA",Region 3,VA,51193,Virginia,Westmoreland,21490.0,20206.0,3500:1,5.77,Mid Atlantic
King George/Westmoreland Counties,Geographic HPSA,10,Proposed For Withdrawal,2006-04-10,2021-09-10,6.14,41696.0,8.6,6791:1,Rural,"King George County, VA",Region 3,VA,51099,Virginia,King George,21490.0,20206.0,3500:1,5.77,Mid Atlantic
Charlotte County,Geographic HPSA,16,Designated,1989-01-26,2021-09-10,2.825,11801.0,23.7,4177:1,Rural,"Charlotte County, VA",Region 3,VA,51037,Virginia,Charlotte,9888.0,1913.0,3500:1,0.545,Mid Atlantic
Warren County,High Needs Geographic HPSA,4,Proposed For Withdrawal,2017-10-26,2021-09-08,10.75,37375.0,9.8,3477:1,Rural,"Warren County, VA",Region 3,VA,51187,Virginia,Warren,32250.0,5125.0,3000:1,1.71,Mid Atlantic
Warren,Geographic HPSA,7,Designated,2021-09-08,2021-09-08,9.875,38577.0,9.9,3907:1,Rural,"Warren County, VA",Region 3,VA,51187,Virginia,Warren,34562.0,4015.0,3500:1,1.145,Mid Atlantic
Shenandoah-Page,Geographic HPSA,10,Designated,2017-03-20,2021-09-10,17.575,66235.0,12.7,3769:1,Rural,"Page County, VA",Region 3,VA,51139,Virginia,Page,61512.0,4723.0,3500:1,1.345,Mid Atlantic
Shenandoah-Page,Geographic HPSA,10,Designated,2017-03-20,2021-09-10,17.575,66235.0,12.7,3769:1,Rural,"Shenandoah County, VA",Region 3,VA,51171,Virginia,Shenandoah,61512.0,4723.0,3500:1,1.345,Mid Atlantic
Greene County,Geographic HPSA,7,Designated,2022-01-20,2022-01-20,4.8,19372.0,6.3,4036:1,Rural,"Greene County, VA",Region 3,VA,51079,Virginia,Greene,16800.0,2572.0,3500:1,0.73,Mid Atlantic
Dickenson County,High Needs Geographic HPSA,14,Designated,2013-04-02,2021-09-10,2.475,14272.0,25.6,5766:1,Rural,"Dickenson County, VA",Region 3,VA,51051,Virginia,Dickenson,7425.0,6847.0,3000:1,2.285,Mid Atlantic
Cumberland County,Geographic HPSA,14,Designated,2021-12-10,2021-12-10,0.0,9749.0,17.8,,Rural,"Cumberland County, VA",Region 3,VA,51049,Virginia,Cumberland,0.0,9749.0,3500:1,2.79,Mid Atlantic
Patrick County,Geographic HPSA,14,Designated,1984-01-01,2021-09-10,1.15,17341.0,14.2,15079:1,Rural,"Patrick County, VA",Region 3,VA,51141,Virginia,Patrick,4025.0,13316.0,3500:1,3.8,Mid Atlantic
Madison County,Geographic HPSA,13,Designated,2022-01-20,2022-01-20,0.9,12994.0,6.5,14438:1,Rural,"Madison County, VA",Region 3,VA,51113,Virginia,Madison,3150.0,9844.0,3500:1,2.81,Mid Atlantic
Cass County,Geographic HPSA,11,Designated,2010-10-12,2021-07-02,6.05,29558.0,18.4,4886:1,Rural,"Cass County, TX",Region 6,TX,48067,Texas,Cass,21175.0,8383.0,3500:1,2.4,South Central
Tyler County,Geographic HPSA,17,Designated,2013-09-12,2021-09-10,1.8,18844.0,16.5,10469:1,Rural,"Tyler County, TX",Region 6,TX,48457,Texas,Tyler,6300.0,12544.0,3500:1,3.58,South Central
Foard County,Geographic HPSA,9,Designated,2019-12-31,2021-09-10,0.0,1239.0,10.4,,Rural,"Foard County, TX",Region 6,TX,48155,Texas,Foard,0.0,1239.0,3500:1,0.35,South Central
Hale County,High Needs Geographic HPSA,11,Proposed For Withdrawal,2019-11-29,2021-09-08,10.475,32549.0,20.7,3107:1,Rural,"Hale County, TX",Region 6,TX,48189,Texas,Hale,31425.0,1124.0,3000:1,0.375,South Central
Red River County,Geographic HPSA,17,Designated,2019-12-31,2021-09-10,0.9,11969.0,19.6,13299:1,Rural,"Red River County, TX",Region 6,TX,48387,Texas,Red River,3150.0,8819.0,3500:1,2.52,South Central
Liberty County,Geographic HPSA,11,Designated,2020-03-18,2021-09-10,8.7,75950.0,14.1,8730:1,Rural,"Liberty County, TX",Region 6,TX,48291,Texas,Liberty,30450.0,45500.0,3500:1,13.0,South Central
Waller County,Geographic HPSA,14,Proposed For Withdrawal,1978-06-12,2021-09-10,1.9,41944.0,19.0,22076:1,Partially Rural,"Waller County, TX",Region 6,TX,48473,Texas,Waller,6650.0,35294.0,3500:1,10.08,South Central
Moore County,High Needs Geographic HPSA,7,Designated,2021-07-02,2021-07-02,6.3,21148.0,12.8,3357:1,Rural,"Moore County, TX",Region 6,TX,48341,Texas,Moore,18900.0,2248.0,3000:1,0.75,South Central
Gray County,High Needs Geographic HPSA,14,Designated,2018-04-13,2021-09-10,3.8,20693.0,16.4,5446:1,Rural,"Gray County, TX",Region 6,TX,48179,Texas,Gray,11400.0,9293.0,3000:1,3.1,South Central
Karnes County,Geographic HPSA,13,Designated,2021-07-02,2021-07-02,2.95,12432.0,17.6,4214:1,Rural,"Karnes County, TX",Region 6,TX,48255,Texas,Karnes,10325.0,2107.0,3500:1,0.6,South Central
Webb County,Geographic HPSA,14,Designated,2019-12-23,2021-09-10,57.175,270104.0,27.4,4724:1,Partially Rural,"Webb County, TX",Region 6,TX,48479,Texas,Webb,200112.0,69992.0,3500:1,19.995,South Central
Jim Hogg County,High Needs Geographic HPSA,19,Designated,1979-06-07,2021-09-10,0.0,5148.0,30.6,,Rural,"Jim Hogg County, TX",Region 6,TX,48247,Texas,Jim Hogg,0.0,5148.0,3000:1,1.72,South Central
Hudspeth County,Geographic HPSA,19,Designated,2020-10-19,2021-09-10,0.0,3624.0,24.4,,Rural,"Hudspeth County, TX",Region 6,TX,48229,Texas,Hudspeth,0.0,3624.0,3500:1,1.04,South Central
Harrison County,Geographic HPSA,7,Designated,2021-09-09,2021-09-09,4.225,14876.0,16.0,3521:1,Rural,"Harrison County, OH",Region 5,OH,39067,Ohio,Harrison,14788.0,88.0,3500:1,0.025,Great Lakes
Hocking County,Geographic HPSA,12,Proposed For Withdrawal,2015-08-19,2021-09-08,6.23,28365.0,16.8,4553:1,Rural,"Hocking County, OH",Region 5,OH,39073,Ohio,Hocking,21805.0,6560.0,3500:1,1.87,Great Lakes
Preble County,Geographic HPSA,10,Proposed For Withdrawal,2014-05-22,2021-09-10,6.1,41232.0,12.8,6759:1,Rural,"Preble County, OH",Region 5,OH,39135,Ohio,Preble,21350.0,19882.0,3500:1,5.68,Great Lakes
Buffalo County,Geographic HPSA,13,Designated,2022-07-29,2022-07-29,0.8,13026.0,9.4,16283:1,Rural,"Buffalo County, WI",Region 5,WI,55011,Wisconsin,Buffalo,2800.0,10226.0,3500:1,2.92,Great Lakes
Burnett County,Geographic HPSA,12,Proposed For Withdrawal,1981-01-08,2021-09-10,3.54,15189.0,16.2,4291:1,Rural,"Burnett County, WI",Region 5,WI,55013,Wisconsin,Burnett,12390.0,2799.0,3500:1,0.8,Great Lakes
Kewaunee County,Geographic HPSA,7,Designated,2008-04-10,2021-09-09,5.25,20166.0,7.7,3841:1,Rural,"Kewaunee County, WI",Region 5,WI,55061,Wisconsin,Kewaunee,18375.0,1791.0,3500:1,0.51,Great Lakes
Harper County,Geographic HPSA,13,Designated,2015-12-04,2021-08-06,0.5,3628.0,15.2,7256:1,Rural,"Harper County, OK",Region 6,OK,40059,Oklahoma,Harper,1750.0,1878.0,3500:1,0.54,South Central
Alfalfa County,Geographic HPSA,13,Designated,2021-08-25,2021-08-25,0.0,4740.0,9.1,,Rural,"Alfalfa County, OK",Region 6,OK,40003,Oklahoma,Alfalfa,0.0,4740.0,3500:1,1.35,South Central
Pushmataha County,High Needs Geographic HPSA,16,Designated,2017-09-15,2021-09-10,1.15,10976.0,20.4,9544:1,Rural,"Pushmataha County, OK",Region 6,OK,40127,Oklahoma,Pushmataha,3450.0,7526.0,3000:1,2.51,South Central
Grant County,High Needs Geographic HPSA,12,Proposed For Withdrawal,1978-05-10,2021-09-10,0.0,4405.0,9.3,,Rural,"Grant County, OK",Region 6,OK,40053,Oklahoma,Grant,0.0,4405.0,3000:1,1.47,South Central
Caddo County,Geographic HPSA,16,Designated,2021-06-23,2021-06-23,3.3,27841.0,18.9,8437:1,Rural,"Caddo County, OK",Region 6,OK,40015,Oklahoma,Caddo,11550.0,16291.0,3500:1,4.65,South Central
