Year,Quarter,Facility ID,Facility Name,City,State,ZIP Code,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison,Meets criteria for promoting interoperability of EHRs,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,TE Group Measure Count,Count of Facility TE Measures,County,Common State County FIPS Code,Latitude,Longitude,County HPSA Status,Designation Type,HPSA Score,HPSA FTE,HPSA Designation Population,% of Population Below 100% Poverty,HPSA Formal Ratio,Rural Status,HPSA Provider Ratio Goal,HPSA Shortage
2016,Q4,10021,DALE MEDICAL CENTER,OZARK,Alabama,36360,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Dale County,01045,31.43,-85.64,Shortage Area,High Needs Geographic HPSA,15.0,8.56,48674.0,18.7,5686:1,Rural,3000:1,7.66
2016,Q4,10022,CHEROKEE MEDICAL CENTER,CENTRE,Alabama,35960,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the National average,Not Available,Same as the National average,Above the National average,Same as the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Cherokee County,01019,34.15,-85.67,Shortage Area,Geographic HPSA,11.0,4.05,25571.0,13.9,6314:1,Rural,3500:1,3.26
2016,Q4,10023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,Alabama,36116,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,Below the National average,Above the National average,,,,,,,,,,,,,,,,,,,,,Montgomery County,01101,32.27,-86.21,Non-Shortage Area,,,,,,,,,
2016,Q4,10024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,Alabama,36106,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the National average,Above the National average,Above the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Montgomery County,01101,32.35,-86.28,Non-Shortage Area,,,,,,,,,
2016,Q4,10029,EAST ALABAMA MEDICAL CENTER,OPELIKA,Alabama,36801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the National average,Above the National average,Above the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Lee County,01081,32.65,-85.37,Non-Shortage Area,,,,,,,,,
2016,Q4,10032,WEDOWEE HOSPITAL,WEDOWEE,Alabama,36278,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the National average,Not Available,Same as the National average,Not Available,Same as the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Randolph County,01111,33.3,-85.48,Shortage Area,Geographic HPSA,13.0,3.8,22139.0,16.9,5826:1,Rural,3500:1,2.53
2016,Q4,10033,UNIVERSITY OF ALABAMA HOSPITAL,BIRMINGHAM,Alabama,35233,Acute Care Hospitals,Government - State,Yes,Y,3,Same as the National average,Above the National average,Below the National average,Above the National average,Same as the National average,Below the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Jefferson County,01073,33.52,-86.79,Non-Shortage Area,,,,,,,,,
2016,Q4,10034,COMMUNITY HOSPITAL INC,TALLASSEE,Alabama,36078,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,4,Same as the National average,Not Available,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Elmore County,01051,32.53,-85.89,Shortage Area,Geographic HPSA,17.0,7.15,76637.0,11.5,10718:1,Partially Rural,3500:1,14.75
2016,Q4,10035,CULLMAN REGIONAL MEDICAL CENTER,CULLMAN,Alabama,35058,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the National average,Above the National average,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Cullman County,01043,34.23,-86.74,Non-Shortage Area,,,,,,,,,
2016,Q4,10036,ANDALUSIA REGIONAL HOSPITAL,ANDALUSIA,Alabama,36420,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Below the National average,Below the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Covington County,01039,31.3,-86.48,Non-Shortage Area,,,,,,,,,
2016,Q4,10038,STRINGFELLOW MEMORIAL HOSPITAL,ANNISTON,Alabama,36201,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Calhoun County,01015,33.65,-85.88,Non-Shortage Area,,,,,,,,,
2016,Q4,10039,HUNTSVILLE HOSPITAL,HUNTSVILLE,Alabama,35801,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Below the National average,Above the National average,Above the National average,Same as the National average,Same as the National average,Below the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Madison County,01089,34.73,-86.56,Non-Shortage Area,,,,,,,,,
2016,Q4,10040,GADSDEN REGIONAL MEDICAL CENTER,GADSDEN,Alabama,35903,Acute Care Hospitals,Proprietary,Yes,Y,2,Same as the National average,Below the National average,Below the National average,Below the National average,Below the National average,Below the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Etowah County,01055,34.02,-85.86,Non-Shortage Area,,,,,,,,,
2016,Q4,10044,MARION REGIONAL MEDICAL CENTER,HAMILTON,Alabama,35570,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,5,Same as the National average,Not Available,Same as the National average,Above the National average,Same as the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Marion County,01093,34.14,-87.98,Non-Shortage Area,,,,,,,,,
2016,Q4,10045,FAYETTE MEDICAL CENTER,FAYETTE,Alabama,35555,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,4,Same as the National average,Not Available,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Fayette County,01057,33.69,-87.83,Shortage Area,Geographic HPSA,12.0,4.55,16182.0,19.4,3556:1,Rural,3500:1,0.07
2016,Q4,10046,RIVERVIEW REGIONAL MEDICAL CENTER,GADSDEN,Alabama,35901,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Etowah County,01055,34.01,-86.01,Non-Shortage Area,,,,,,,,,
2016,Q4,10047,GEORGIANA MEDICAL CENTER,GEORGIANA,Alabama,36033,Acute Care Hospitals,Proprietary,Yes,Y,3,Not Available,Not Available,Same as the National average,Same as the National average,Same as the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Butler County,01013,31.63,-86.74,Shortage Area,High Needs Geographic HPSA,13.0,6.15,19540.0,22.5,3177:1,Rural,3000:1,0.36
2016,Q4,10049,MEDICAL CENTER ENTERPRISE,ENTERPRISE,Alabama,36330,Acute Care Hospitals,Proprietary,Yes,Y,3,Below the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Coffee County,01031,31.32,-85.84,Non-Shortage Area,,,,,,,,,
2016,Q4,10051,GREENE COUNTY HOSPITAL,EUTAW,Alabama,35462,Acute Care Hospitals,Government - Local,No,Y,3,Same as the National average,Not Available,Same as the National average,Not Available,Same as the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Greene County,01063,32.84,-87.89,Shortage Area,High Needs Geographic HPSA,19.0,1.9,8242.0,38.1,4338:1,Rural,3000:1,0.85
2016,Q4,10052,LAKE MARTIN COMMUNITY HOSPITAL,DADEVILLE,Alabama,36853,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Same as the National average,Below the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Tallapoosa County,01123,32.83,-85.76,Non-Shortage Area,,,,,,,,,
2016,Q4,10055,FLOWERS HOSPITAL,DOTHAN,Alabama,36305,Acute Care Hospitals,Proprietary,Yes,Y,4,Below the National average,Above the National average,Above the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Houston County,01069,31.2,-85.5,Non-Shortage Area,,,,,,,,,
2016,Q4,10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,Alabama,35205,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the National average,Below the National average,Above the National average,Above the National average,Below the National average,Below the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Jefferson County,01073,33.49,-86.81,Non-Shortage Area,,,,,,,,,
2016,Q4,10058,BIBB MEDICAL CENTER,CENTREVILLE,Alabama,35042,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,Not Available,Not Available,Not Available,Not Available,Same as the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Bibb County,01007,32.95,-87.13,Shortage Area,Geographic HPSA,10.0,5.15,20632.0,18.1,4006:1,Rural,3500:1,0.74
2016,Q4,10059,LAWRENCE MEDICAL CENTER,MOULTON,Alabama,35650,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the National average,Not Available,Same as the National average,Not Available,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Lawrence County,01079,34.48,-87.28,Shortage Area,Geographic HPSA,15.0,4.63,33096.0,18.2,7148:1,Partially Rural,3500:1,4.83
2016,Q4,10061,HIGHLANDS MEDICAL CENTER,SCOTTSBORO,Alabama,35768,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Same as the National average,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Jackson County,01071,34.77,-86.1,Non-Shortage Area,,,,,,,,,
2016,Q4,10062,WIREGRASS MEDICAL CENTER,GENEVA,Alabama,36340,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Same as the National average,Below the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Geneva County,01061,31.03,-85.87,Shortage Area,High Needs Geographic HPSA,10.0,5.3,26092.0,22.0,4923:1,Partially Rural,3000:1,3.4
2016,Q4,10065,RUSSELL HOSPITAL,ALEXANDER CITY,Alabama,35010,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Tallapoosa County,01123,32.92,-85.93,Non-Shortage Area,,,,,,,,,
2016,Q4,10069,MEDICAL CENTER BARBOUR,EUFAULA,Alabama,36027,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Barbour County,01005,31.9,-85.15,Shortage Area,High Needs Geographic HPSA,20.0,4.225,22417.0,30.6,5306:1,Rural,3000:1,3.245
2016,Q4,10073,CLAY COUNTY HOSPITAL,ASHLAND,Alabama,36251,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Clay County,01027,33.27,-85.83,Shortage Area,Geographic HPSA,12.0,3.98,14490.0,16.7,3641:1,Rural,3500:1,0.16
2016,Q4,10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,ANNISTON,Alabama,36207,Acute Care Hospitals,Government - Local,Yes,Y,2,Same as the National average,Below the National average,Above the National average,Same as the National average,Same as the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Calhoun County,01015,33.66,-85.81,Non-Shortage Area,,,,,,,,,
2016,Q4,10079,ATHENS LIMESTONE HOSPITAL,ATHENS,Alabama,35611,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Above the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Limestone County,01083,34.78,-86.95,Shortage Area,Geographic HPSA,15.0,15.26,87161.0,14.1,5712:1,Partially Rural,3500:1,9.64
2016,Q4,10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,FOLEY,Alabama,36535,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,Same as the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Baldwin County,01003,30.4,-87.68,Non-Shortage Area,,,,,,,,,
2016,Q4,10085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,DECATUR,Alabama,35601,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the National average,Below the National average,Above the National average,Below the National average,Below the National average,Same as the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Morgan County,01103,34.57,-86.98,Non-Shortage Area,,,,,,,,,
2016,Q4,10086,NORTHWEST MEDICAL CENTER,WINFIELD,Alabama,35594,Acute Care Hospitals,Proprietary,Yes,Y,4,Same as the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Marion County,01093,33.92,-87.79,Non-Shortage Area,,,,,,,,,
2016,Q4,10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,MOBILE,Alabama,36617,Acute Care Hospitals,Government - State,Yes,Y,3,Same as the National average,Same as the National average,Below the National average,Above the National average,Same as the National average,Below the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Mobile County,01097,30.72,-88.1,Non-Shortage Area,,,,,,,,,
2016,Q4,10089,WALKER BAPTIST MEDICAL CENTER,JASPER,Alabama,35502,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Walker County,01127,33.85,-87.27,Non-Shortage Area,,,,,,,,,
2016,Q4,10090,PROVIDENCE HOSPITAL,MOBILE,Alabama,36608,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,2,Below the National average,Below the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Mobile County,01097,30.68,-88.3,Non-Shortage Area,,,,,,,,,
2016,Q4,10091,GROVE HILL MEMORIAL HOSPITAL,GROVE HILL,Alabama,36451,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Same as the National average,Below the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Clarke County,01025,31.7,-87.77,Shortage Area,High Needs Geographic HPSA,13.0,7.75,23628.0,23.2,3049:1,Rural,3000:1,0.13
2016,Q4,10092,D C H REGIONAL MEDICAL CENTER,TUSCALOOSA,Alabama,35401,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Below the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Below the National average,Above the National average,,,,,,,,,,,,,,,,,,,,,Tuscaloosa County,01125,33.17,-87.62,Non-Shortage Area,,,,,,,,,
2016,Q4,10095,HALE COUNTY HOSPITAL,GREENSBORO,Alabama,36744,Acute Care Hospitals,Government - Local,Yes,Y,,Not Available,Not Available,Not Available,Not Available,Below the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Hale County,01065,32.7,-87.59,Shortage Area,High Needs Geographic HPSA,21.0,1.3,14565.0,24.1,11204:1,Rural,3000:1,3.56
2016,Q4,10097,ELMORE COMMUNITY HOSPITAL,WETUMPKA,Alabama,36092,Acute Care Hospitals,Government - State,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Same as the National average,Same as the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Elmore County,01051,32.54,-86.2,Shortage Area,Geographic HPSA,17.0,7.15,76637.0,11.5,10718:1,Partially Rural,3500:1,14.75
2016,Q4,10099,D W MCMILLAN MEMORIAL HOSPITAL,BREWTON,Alabama,36426,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,Same as the National average,Not Available,Same as the National average,Same as the National average,Same as the National average,Above the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Escambia County,01053,31.11,-87.07,Shortage Area,High Needs Geographic HPSA,11.0,11.125,34089.0,22.1,3064:1,Rural,3000:1,0.235
2016,Q4,10100,THOMAS HOSPITAL,FAIRHOPE,Alabama,36532,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,Same as the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Baldwin County,01003,30.51,-87.88,Non-Shortage Area,,,,,,,,,
2016,Q4,10101,CITIZENS BAPTIST MEDICAL CENTER,TALLADEGA,Alabama,35161,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Talladega County,01121,33.43,-86.09,Shortage Area,High Needs Geographic HPSA,13.0,22.17,84289.0,20.7,3802:1,Rural,3000:1,5.93
2016,Q4,10102,J PAUL JONES HOSPITAL,CAMDEN,Alabama,36726,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,,Not Available,Not Available,Not Available,Not Available,Same as the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Wilcox County,01131,31.99,-87.29,Shortage Area,High Needs Geographic HPSA,21.0,1.6,10352.0,30.0,6470:1,Rural,3000:1,1.85
2016,Q4,10103,PRINCETON BAPTIST MEDICAL CENTER,BIRMINGHAM,Alabama,35211,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,3,Below the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Jefferson County,01073,33.46,-86.86,Non-Shortage Area,,,,,,,,,
2016,Q4,10104,GRANDVIEW MEDICAL CENTER,BIRMINGHAM,Alabama,35243,Acute Care Hospitals,Proprietary,Yes,Y,2,Below the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Jefferson County,01073,33.44,-86.74,Non-Shortage Area,,,,,,,,,
2016,Q4,10108,PRATTVILLE BAPTIST HOSPITAL,PRATTVILLE,Alabama,36067,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,4,Same as the National average,Same as the National average,Above the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Autauga County,01001,32.51,-86.56,Shortage Area,Geographic HPSA,15.0,9.25,54922.0,15.1,5938:1,Non-Rural,3500:1,6.44
2016,Q4,10109,PICKENS COUNTY MEDICAL CENTER,CARROLLTON,Alabama,35447,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Not Available,Below the National average,Same as the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Pickens County,01107,33.26,-88.09,Shortage Area,High Needs Geographic HPSA,16.0,3.95,18506.0,22.7,4685:1,Rural,3000:1,2.22
2016,Q4,10110,BULLOCK COUNTY HOSPITAL,UNION SPRINGS,Alabama,36089,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Not Available,Same as the National average,Above the National average,Not Available,,,,,,,,,,,,,,,,,,,,,Bullock County,01011,32.13,-85.71,Shortage Area,High Needs Geographic HPSA,22.0,0.0,9784.0,28.8,,Rural,3000:1,3.26
2016,Q4,10112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,DEMOPOLIS,Alabama,36732,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Marengo County,01091,32.5,-87.83,Shortage Area,High Needs Geographic HPSA,19.0,3.475,19056.0,21.9,5484:1,Rural,3000:1,2.875
2016,Q4,10113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,Alabama,36652,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,Same as the National average,Below the National average,Below the National average,Above the National average,Same as the National average,Below the National average,Below the National average,,,,,,,,,,,,,,,,,,,,,Mobile County,01097,30.68,-88.04,Non-Shortage Area,,,,,,,,,
2016,Q4,10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",BESSEMER,Alabama,35021,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,Same as the National average,Same as the National average,Above the National average,Below the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Jefferson County,01073,33.37,-86.96,Non-Shortage Area,,,,,,,,,
2016,Q4,10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,SELMA,Alabama,36701,Acute Care Hospitals,Proprietary,Yes,Y,3,Same as the National average,Above the National average,Same as the National average,Below the National average,Same as the National average,Same as the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Dallas County,01047,32.41,-87.03,Shortage Area,High Needs Geographic HPSA,14.0,12.7,38546.0,29.0,3035:1,Rural,3000:1,0.15
2016,Q4,10120,MONROE COUNTY HOSPITAL,MONROEVILLE,Alabama,36460,Acute Care Hospitals,Government - Local,Yes,Y,3,Same as the National average,Not Available,Same as the National average,Above the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Monroe County,01099,31.51,-87.32,Shortage Area,High Needs Geographic HPSA,13.0,6.8,21004.0,27.9,3089:1,Rural,3000:1,0.2
2016,Q4,10125,LAKELAND COMMUNITY HOSPITAL,HALEYVILLE,Alabama,35565,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,5,Above the National average,Not Available,Above the National average,Same as the National average,Same as the National average,Above the National average,Same as the National average,,,,,,,,,,,,,,,,,,,,,Winston County,01133,34.23,-87.61,Shortage Area,Geographic HPSA,12.0,6.775,25018.0,17.6,3693:1,Rural,3500:1,0.375
